dataset,column,rows,missing_n,missing_percent
frog_primary_multiclass,eventID,247406,0,0
frog_primary_multiclass,scientificName,247406,0,0
frog_primary_multiclass,eventDate,247406,0,0
frog_primary_multiclass,decimalLatitude,247406,0,0
frog_primary_multiclass,decimalLongitude,247406,0,0
frog_primary_multiclass,month,247406,0,0
frog_primary_multiclass,day_of_year,247406,0,0
frog_primary_multiclass,month_sin,247406,0,0
frog_primary_multiclass,month_cos,247406,0,0
frog_primary_multiclass,day_of_year_sin,247406,0,0
frog_primary_multiclass,day_of_year_cos,247406,0,0
frog_primary_multiclass,BIO1,247406,4806,1.9425559606476803
frog_primary_multiclass,BIO2,247406,4806,1.9425559606476803
frog_primary_multiclass,BIO3,247406,4806,1.9425559606476803
frog_primary_multiclass,BIO4,247406,4806,1.9425559606476803
frog_primary_multiclass,BIO5,247406,4806,1.9425559606476803
frog_primary_multiclass,BIO6,247406,4806,1.9425559606476803
frog_primary_multiclass,BIO7,247406,4806,1.9425559606476803
frog_primary_multiclass,BIO8,247406,4806,1.9425559606476803
frog_primary_multiclass,BIO9,247406,4806,1.9425559606476803
frog_primary_multiclass,BIO10,247406,4806,1.9425559606476803
frog_primary_multiclass,BIO11,247406,4806,1.9425559606476803
frog_primary_multiclass,BIO12,247406,4806,1.9425559606476803
frog_primary_multiclass,BIO13,247406,4806,1.9425559606476803
frog_primary_multiclass,BIO14,247406,4806,1.9425559606476803
frog_primary_multiclass,BIO15,247406,4806,1.9425559606476803
frog_primary_multiclass,BIO16,247406,4806,1.9425559606476803
frog_primary_multiclass,BIO17,247406,4806,1.9425559606476803
frog_primary_multiclass,BIO18,247406,4806,1.9425559606476803
frog_primary_multiclass,BIO19,247406,4806,1.9425559606476803
frog_primary_multiclass,elevation,247406,4806,1.9425559606476803
frog_primary_multiclass,climatological_tavg_event_month,247406,4806,1.9425559606476803
frog_primary_multiclass,climatological_prec_event_month,247406,4806,1.9425559606476803
frog_primary_multiclass,epbc_listed,247406,247406,100
frog_primary_multiclass,epbc_category,247406,247406,100
frog_primary_multiclass,epbc_match_status,247406,0,0
frog_multispecies_extension,eventID,213675,0,0
frog_multispecies_extension,eventDate,213675,0,0
frog_multispecies_extension,species_list,213675,0,0
frog_multispecies_extension,n_species,213675,0,0
frog_multispecies_extension,selected_species_list,213675,0,0
frog_multispecies_extension,n_selected_species,213675,0,0
frog_multispecies_extension,all_species_in_vocabulary,213675,0,0
frog_multispecies_extension,recall_at_k_eligible,213675,0,0
frog_multispecies_extension,decimalLatitude,213675,0,0
frog_multispecies_extension,decimalLongitude,213675,0,0
frog_multispecies_extension,month,213675,0,0
frog_multispecies_extension,day_of_year,213675,0,0
frog_multispecies_extension,month_sin,213675,0,0
frog_multispecies_extension,month_cos,213675,0,0
frog_multispecies_extension,day_of_year_sin,213675,0,0
frog_multispecies_extension,day_of_year_cos,213675,0,0
frog_multispecies_extension,BIO1,213675,2009,0.9402129402129402
frog_multispecies_extension,BIO2,213675,2009,0.9402129402129402
frog_multispecies_extension,BIO3,213675,2009,0.9402129402129402
frog_multispecies_extension,BIO4,213675,2009,0.9402129402129402
frog_multispecies_extension,BIO5,213675,2009,0.9402129402129402
frog_multispecies_extension,BIO6,213675,2009,0.9402129402129402
frog_multispecies_extension,BIO7,213675,2009,0.9402129402129402
frog_multispecies_extension,BIO8,213675,2009,0.9402129402129402
frog_multispecies_extension,BIO9,213675,2009,0.9402129402129402
frog_multispecies_extension,BIO10,213675,2009,0.9402129402129402
frog_multispecies_extension,BIO11,213675,2009,0.9402129402129402
frog_multispecies_extension,BIO12,213675,2009,0.9402129402129402
frog_multispecies_extension,BIO13,213675,2009,0.9402129402129402
frog_multispecies_extension,BIO14,213675,2009,0.9402129402129402
frog_multispecies_extension,BIO15,213675,2009,0.9402129402129402
frog_multispecies_extension,BIO16,213675,2009,0.9402129402129402
frog_multispecies_extension,BIO17,213675,2009,0.9402129402129402
frog_multispecies_extension,BIO18,213675,2009,0.9402129402129402
frog_multispecies_extension,BIO19,213675,2009,0.9402129402129402
frog_multispecies_extension,elevation,213675,2009,0.9402129402129402
frog_multispecies_extension,climatological_tavg_event_month,213675,2009,0.9402129402129402
frog_multispecies_extension,climatological_prec_event_month,213675,2009,0.9402129402129402
species_metadata,scientificName,216,0,0
species_metadata,clean_single_species_events,216,0,0
species_metadata,selected,216,0,0
species_metadata,threshold_used,216,0,0
species_metadata,epbc_listed,216,192,88.88888888888889
species_metadata,epbc_category,216,192,88.88888888888889
species_metadata,epbc_match_status,216,0,0
species_metadata,epbc_source_scientific_name,216,192,88.88888888888889
species_metadata,epbc_source_current_name,216,207,95.83333333333333
species_metadata,epbc_sprat_taxon_id,216,192,88.88888888888889
species_metadata,epbc_current_sprat_taxon_id,216,207,95.83333333333333
species_metadata,epbc_profile_url,216,192,88.88888888888889
species_metadata,epbc_listed_subordinate_taxa,216,214,99.07407407407408
species_metadata,epbc_source_extracted_date,216,0,0
species_metadata,epbc_retrieved_at_utc,216,0,0
species_metadata,epbc_source_url,216,0,0
species_metadata,raw_events,216,0,0
species_metadata,raw_occurrence_rows,216,0,0
